Longitude,Latitude,id,RSRP,L,FB,PCI,RSRQ,RSSI,RSP,D,SINR,Hb,Hm,Husr,deltaH,LOS,UCI,CCI
12.520281,55.779999,38,-70.94,556.796676,811,64,-13.31,-49.74,18,557.5255943942385,22.65,60,1.5,38.0,22.0,False,14,14
12.520281,55.779997,39,-70.94,557.004272,811,64,-13.31,-49.74,18,557.7329190806743,22.65,60,1.5,38.0,22.0,False,14,14
12.520282,55.779994,40,-70.64,557.293228,811,64,-13.02,-49.89,18,558.0214977710625,23.16,60,1.5,38.0,22.0,False,14,14
12.520283,55.779991,41,-70.64,557.58224,811,64,-13.02,-49.89,18,558.310132778743,23.16,60,1.5,38.0,22.0,False,14,14
12.520283,55.779989,42,-70.64,557.7899,811,64,-13.02,-49.89,18,558.5175221441222,23.16,60,1.5,38.0,22.0,False,14,14
12.520283,55.779986,43,-70.64,558.10141,811,64,-13.02,-49.89,18,558.8286265430469,23.16,60,1.5,38.0,22.0,False,14,14
12.520282,55.779984,44,-70.64,558.33151,811,64,-13.02,-49.89,18,559.0584272317877,23.16,60,1.5,38.0,22.0,False,14,14
12.520281,55.779982,45,-70.64,558.561612,811,64,-13.02,-49.89,18,559.2882301640528,23.16,60,1.5,38.0,22.0,False,14,14
12.52028,55.779979,46,-70.64,558.895561,811,64,-13.02,-49.89,18,559.6217455616827,23.16,60,1.5,38.0,22.0,False,14,14
12.520279,55.779977,47,-70.64,559.125666,811,64,-13.02,-49.89,18,559.8515520921092,23.16,60,1.5,38.0,22.0,False,14,14
12.520277,55.779973,48,-69.71,559.585877,811,64,-12.94,-49.47,18,560.3111668866319,24.54,60,1.5,38.0,22.0,False,14,14
12.520276,55.77997,49,-69.71,559.9198399999999,811,64,-12.94,-49.47,18,560.6446978484908,24.54,60,1.5,38.0,22.0,False,14,14
12.520275,55.779968,50,-69.71,560.14995,811,64,-12.94,-49.47,18,560.8745104611213,24.54,60,1.5,38.0,22.0,False,14,14
12.520274,55.779965,51,-69.71,560.483922,811,64,-12.94,-49.47,18,561.2080512791152,24.54,60,1.5,38.0,22.0,False,14,14
12.520273,55.779963,52,-69.71,560.714034,811,64,-12.94,-49.47,18,561.4378664861795,24.54,60,1.5,38.0,22.0,False,14,14
12.520272,55.77996,53,-69.71,561.048015,811,64,-12.94,-49.47,18,561.7714171577619,24.54,60,1.5,38.0,22.0,False,14,14
12.520271,55.779958,54,-69.71,561.278131,811,64,-12.94,-49.47,18,562.0012369549138,24.54,60,1.5,38.0,22.0,False,14,14
12.52027,55.779955,55,-69.71,561.61212,811,64,-12.94,-49.47,18,562.3347964788364,24.54,60,1.5,38.0,22.0,False,14,14
12.520268,55.779951,56,-69.47,562.072359,811,64,-13.02,-49.23,18,562.7944444926806,25.1,60,1.5,38.0,22.0,False,14,14
12.520266,55.779947,57,-69.47,562.5326,811,64,-13.02,-49.23,18,563.2540954691408,25.1,60,1.5,38.0,22.0,False,14,14
12.520264,55.779944,58,-69.47,562.888962,811,64,-13.02,-49.23,18,563.6100012787543,25.1,60,1.5,38.0,22.0,False,14,14
12.520262,55.779941,59,-69.47,563.245325,811,64,-13.02,-49.23,18,563.9659086632414,25.1,60,1.5,38.0,22.0,False,14,14
12.52026,55.779937,60,-69.47,563.70557,811,64,-13.02,-49.23,18,564.4255660838061,25.1,60,1.5,38.0,22.0,False,14,14
12.520258,55.779934,61,-69.47,564.061932,811,64,-13.02,-49.23,18,564.7814737857224,25.1,60,1.5,38.0,22.0,False,14,14
12.520257,55.779931,62,-69.47,564.395943,811,64,-13.02,-49.23,18,565.1150595010358,25.1,60,1.5,38.0,22.0,False,14,14
12.520255,55.779927,63,-69.47,564.8561960000001,811,64,-13.02,-49.23,18,565.574727299223,25.1,60,1.5,38.0,22.0,False,14,14
12.520252,55.779922,64,-70.08,565.442686,811,64,-12.95,-50.13,18,566.1604729675983,23.86,60,1.5,38.0,22.0,False,14,14
12.52025,55.779919,65,-70.08,565.799049,811,64,-12.95,-50.13,18,566.5163844491211,23.86,60,1.5,38.0,22.0,False,14,14
12.520248,55.779915,66,-70.08,566.259307,811,64,-12.95,-50.13,18,566.9760601331596,23.86,60,1.5,38.0,22.0,False,14,14
12.520246,55.779911,67,-70.08,566.719568,811,64,-12.95,-50.13,18,567.4357397574695,23.86,60,1.5,38.0,22.0,False,14,14
12.520244,55.779907,68,-70.08,567.179832,811,64,-12.95,-50.13,18,567.8954233197766,23.86,60,1.5,38.0,22.0,False,14,14
12.520241,55.779903,69,-70.08,567.662427,811,64,-12.95,-50.13,18,568.3774107294644,23.86,60,1.5,38.0,22.0,False,14,14
12.520239,55.779899,70,-70.08,568.1226929999999,811,64,-12.95,-50.13,18,568.8370982114055,23.86,60,1.5,38.0,22.0,False,14,14
12.520237,55.779895,71,-70.08,568.5829620000001,811,64,-12.95,-50.13,18,569.2967896244397,23.86,60,1.5,38.0,22.0,False,14,14
12.520235,55.77989,72,-70.06,569.147146,811,64,-13.02,-49.78,18,569.860266907551,26.66,60,1.5,38.0,22.0,False,14,14
12.520232,55.779886,73,-70.06,569.629736,811,64,-13.02,-49.78,18,570.3422535069883,26.66,60,1.5,38.0,22.0,False,14,14
12.52023,55.779882,74,-70.06,570.090013,811,64,-13.02,-49.78,18,570.8019559552508,26.66,60,1.5,38.0,22.0,False,14,14
12.520228,55.779878,75,-70.06,570.550293,811,64,-13.02,-49.78,18,571.2616623250556,26.66,60,1.5,38.0,22.0,False,14,14
