RSRP,RSRQ,RSSI,SINR,FB,EI,CI,network,LATITUDE,LONGITUDE,Hb,id,Husr,deltaH,L,D,the,phi,RSP
-52,-88,-28,78,3509.76,524287,4095,1,24.828652,102.848843,2001,1,1977,24,200.3,201.73,276.73,-6.84,16
-56,-88,-33,76,3408.96,524287,4095,1,24.828652,102.848843,2001,2,1977,24,200.3,201.73,276.73,-6.84,16
-56,-88,-40,76,3408.96,524287,4095,1,24.828652,102.848843,2001,3,1977,24,200.3,201.73,276.73,-6.84,16
-54,-86,-38,72,3408.96,524287,4095,1,24.828652,102.848843,2001,4,1977,24,200.3,201.73,276.73,-6.84,16
-51,-79,-29,63,3408.96,524287,4095,1,24.828652,102.848843,2001,5,1977,24,200.3,201.73,276.73,-6.84,16
-51,-79,-26,63,3408.96,524287,4095,1,24.828652,102.848843,2001,6,1977,24,200.3,201.73,276.73,-6.84,16
-53,-79,-30,53,3408.96,524287,4095,1,24.828652,102.848843,2001,7,1977,24,200.3,201.73,276.73,-6.84,16
-53,-79,-33,53,3408.96,524287,4095,1,24.828652,102.848843,2001,8,1977,24,200.3,201.73,276.73,-6.84,16
-101,-79,-85,14,3408.96,524287,4095,1,24.828652,102.848843,2001,9,1977,24,200.3,201.73,276.73,-6.84,16
-60,-89,-43,84,3408.96,524287,4095,1,24.828652,102.848843,2001,10,1977,24,200.3,201.73,276.73,-6.84,16
-67,-87,-50,98,3408.96,524287,4095,1,24.828652,102.848843,2001,11,1977,24,200.3,201.73,276.73,-6.84,16
-67,-87,-45,98,3408.96,524287,4095,1,24.828652,102.848843,2001,12,1977,24,200.3,201.73,276.73,-6.84,16
-75,-90,-52,106,3408.96,524287,4095,1,24.828652,102.848843,2001,13,1977,24,200.3,201.73,276.73,-6.84,16
-69,-89,-44,103,3408.96,524287,4095,1,24.828652,102.848843,2001,14,1977,24,200.3,201.73,276.73,-6.84,16
-69,-89,-45,103,3408.96,524287,4095,1,24.828652,102.848843,2001,15,1977,24,200.3,201.73,276.73,-6.84,16
-72,-91,-56,106,3408.96,524287,4095,1,24.828652,102.848843,2001,16,1977,24,200.3,201.73,276.73,-6.84,16
-72,-91,-57,106,3408.96,524287,4095,1,24.828652,102.848843,2001,17,1977,24,200.3,201.73,276.73,-6.84,16
-65,-89,-45,93,3408.96,524287,4095,1,24.828652,102.848843,2001,18,1977,24,200.3,201.73,276.73,-6.84,16
-65,-89,-43,93,3408.96,524287,4095,1,24.828652,102.848843,2001,19,1977,24,200.3,201.73,276.73,-6.84,16
-82,-89,-65,13,3408.96,524287,4095,1,24.828652,102.848843,2001,20,1977,24,200.3,201.73,276.73,-6.84,16
-60,-86,-44,75,3408.96,524287,4095,1,24.828652,102.848843,2001,21,1977,24,200.3,201.73,276.73,-6.84,16
-60,-85,-39,77,3408.96,524287,4095,1,24.828652,102.848843,2001,22,1977,24,200.3,201.73,276.73,-6.84,16
-60,-85,-42,77,3408.96,524287,4095,1,24.828652,102.848843,2001,23,1977,24,200.3,201.73,276.73,-6.84,16
-64,-79,-49,87,3408.96,524287,4095,1,24.828652,102.848843,2001,24,1977,24,200.3,201.73,276.73,-6.84,16
-64,-79,-47,87,3408.96,524287,4095,1,24.828652,102.848843,2001,25,1977,24,200.3,201.73,276.73,-6.84,16
-68,-83,-49,89,3408.96,524287,4095,1,24.828652,102.848843,2001,26,1977,24,200.3,201.73,276.73,-6.84,16
